Title,Genre,Premiere,Runtime,Language
Four to Dinner,Romantic comedy,"January 5, 2022",1 h 30 min,Italian
The Wasteland,Horror,"January 6, 2022",1 h 32 min,Spanish
How I Fell in Love with a Gangster,Drama,"January 12, 2022",2 h 59 min,Polish
Brazen,Romantic thriller,"January 13, 2022",1 h 36 min,English
Photocopier,Coming-of-age drama,"January 13, 2022",2 h 10 min,Indonesian
This Is Not a Comedy,Comedy drama,"January 14, 2022",1 h 45 min,Spanish
The Royal Treatment,Romance,"January 20, 2022",1 h 37 min,English
Amandla,Drama,"January 21, 2022",1 h 46 min,English
Munich – The Edge of War,Historical drama / thriller,"January 21, 2022",2 h 11 min,English
My Father's Violin,Drama,"January 21, 2022",1 h 52 min,Turkish
Home Team,Sports comedy,"January 28, 2022",1 h 37 min,English
Looop Lapeta,Romantic thriller,"February 4, 2022",2 h 11 min,Hindi
Through My Window,Drama,"February 4, 2022",1 h 53 min,Spanish
The Privilege,Horror,"February 9, 2022",1 h 47 min,German
Into the Wind,Romantic drama,"February 10, 2022",1 h 48 min,Polish
Bigbug,Science fiction comedy,"February 11, 2022",1 h 51 min,French
Love and Leashes,Romantic comedy,"February 11, 2022",1 h 58 min,Korean
Love Tactics,Romantic comedy,"February 11, 2022",1 h 38 min,Turkish
Tall Girl 2,Teen romantic comedy,"February 11, 2022",1 h 41 min,English
Fistful of Vengeance,Supernatural martial arts drama,"February 17, 2022",1 h 36 min,English
Texas Chainsaw Massacre,Slasher,"February 18, 2022",1 h 23 min,English
UFO,Drama,"February 23, 2022",1 h 50 min,Turkish
A Madea Homecoming,Comedy,"February 25, 2022",1 h 47 min,English
Restless,Action thriller,"February 25, 2022",1 h 36 min,French
Against the Ice,Survival,"March 2, 2022",1 h 43 min,English
The Weekend Away,Thriller,"March 3, 2022",1 h 31 min,English
The Invisible Thread,Comedy drama,"March 4, 2022",1 h 30 min,Italian
The Adam Project,Science fiction,"March 11, 2022",1 h 46 min,English
Rescued by Ruby,Drama,"March 17, 2022",1 h 33 min,English
Black Crab,Thriller,"March 18, 2022",1 h 54 min,Swedish
Without Saying Goodbye,Romantic comedy,"March 18, 2022",1 h 36 min,Spanish
Windfall,Thriller,"March 18, 2022",1 h 32 min,English
In Good Hands,Romantic comedy,"March 21, 2022",1 h 44 min,Turkish
Love Like the Falling Petals,Drama,"March 24, 2022",2 h 9 min,Japanese
All Hail,Drama,"March 30, 2022",1 h 58 min,Spanish
Apollo 10 1⁄2: A Space Age Childhood,Animation,"April 1, 2022",1 h 38 min,English
Battle: Freestyle,Romantic drama,"April 1, 2022",1 h 28 min,Norwegian
The Bubble,Comedy,"April 1, 2022",2 h 6 min,English
Cobalt Blue,Romantic drama,"April 2, 2022",1 h 52 min,Hindi
Dancing on Glass,Drama,"April 8, 2022",2 h 19 min,Spanish
Metal Lords,Musical comedy drama,"April 8, 2022",1 h 38 min,English
Yaksha: Ruthless Operations,Spy,"April 8, 2022",2 h 5 min,Korean
The Taming of the Shrewd,Comedy,"April 13, 2022",1 h 52 min,Polish
Choose or Die,Horror,"April 15, 2022",1 h 25 min,English
Man of God,Drama,"April 16, 2022",1 h 51 min,English
The Turning Point,Drama,"April 20, 2022",1 h 30 min,Italian
365 Days: This Day,Erotic thriller,"April 27, 2022",1 h 51 min,English
Silverton Siege,Action thriller,"April 27, 2022",1 h 41 min,English
Bubble,Anime,"April 28, 2022",1 h 41 min,Japanese
Honeymoon with My Mother,Comedy,"April 29, 2022",1 h 50 min,Spanish
Rumspringa – An Amish in Berlin,Comedy,"April 29, 2022",1 h 42 min,German
Along for the Ride,Drama,"May 6, 2022",1 h 47 min,English
The Takedown,Action comedy,"May 6, 2022",2 h 1 min,French
Thar,Western thriller,"May 6, 2022",1 h 48 min,Hindi
Senior Year,Comedy,"May 13, 2022",1 h 53 min,English
Toscana,Drama,"May 18, 2022",1 h 30 min,Danish
A Perfect Pairing,Romantic comedy,"May 19, 2022",1 h 42 min,English
F*ck Love Too,Romantic comedy,"May 20, 2022",1 h 32 min,Dutch
Godspeed,Drama,"May 23, 2022",1 h 59 min,Turkish
Interceptor,Action drama,"June 3, 2022",1 h 38 min,English
Hustle,Sports,"June 8, 2022",1 h 58 min,English
Trees of Peace,Drama,"June 10, 2022",1 h 38 min,English
Centauro,Action thriller,"June 15, 2022",1 h 30 min,Spanish
Heart Parade,Romantic comedy,"June 15, 2022",1 h 48 min,Polish
The Wrath of God,Thriller,"June 15, 2022",1 h 38 min,Spanish
Spiderhead,Science fiction action thriller,"June 17, 2022",1 h 47 min,English
Doom of Love,Drama,"June 20, 2022",1 h 40 min,Turkish
Love & Gelato,Romance,"June 22, 2022",1 h 52 min,English
Blasted,Science fiction / comedy,"June 28, 2022",1 h 55 min,Norwegian
Beauty,Drama,"June 29, 2022",1 h 35 min,English
"Hello, Goodbye, and Everything in Between",Romantic comedy,"July 6, 2022",1 h 24 min,English
Dangerous Liaisons,Romantic drama,"July 8, 2022",1 h 49 min,French
Jewel,Drama,"July 8, 2022",1 h 20 min,English
The Sea Beast,Animated adventure,"July 8, 2022",1 h 59 min,English
For Jojo,Drama,"July 11, 2022",1 h 30 min,German
Under the Amalfi Sun,Comedy drama,"July 13, 2022",1 h 30 min,Italian
Love Goals,Comedy,"July 15, 2022",2 h 47 min,Hindi
Persuasion,Drama,"July 15, 2022",1 h 49 min,English
The Gray Man,Spy thriller,"July 22, 2022",2 h 9 min,English
Recurrence,Thriller,"July 27, 2022",1 h 56 min,Spanish
A Cut Above,Comedy,"July 28, 2022",1 h 31 min,Portuguese
The Entitled,Romantic comedy,"July 29, 2022",1 h 30 min,Filipino
Purple Hearts,Romance,"July 29, 2022",2 h 2 min,English
Buba,Comedy,"August 3, 2022",1 h 34 min,German
Don't Blame Karma!,Romantic comedy,"August 3, 2022",1 h 25 min,Spanish
Wedding Season,Comedy,"August 4, 2022",1 h 37 min,English
Carter,Action,"August 5, 2022",2 h 14 min,Korean
Darlings,Comedy drama,"August 5, 2022",2 h 14 min,Hindi
Rise of the Teenage Mutant Ninja Turtles: The Movie,Animated action-adventure,"August 5, 2022",1 h 22 min,English
Heartsong,Romantic comedy,"August 10, 2022",1 h 35 min,Turkish
13: The Musical,Musical,"August 12, 2022",1 h 34 min,English
Day Shift,Fantasy comedy,"August 12, 2022",1 h 53 min,English
Look Both Ways,Romantic comedy,"August 17, 2022",1 h 51 min,English
Royalteen,Coming-of-age,"August 17, 2022",1 h 48 min,Norwegian
The Next 365 Days,Erotic thriller,"August 19, 2022",1 h 53 min,English
That's Amor,Romantic comedy,"August 25, 2022",1 h 36 min,English
Loving Adults,Thriller,"August 26, 2022",1 h 45 min,Danish
Me Time,Comedy,"August 26, 2022",1 h 44 min,English
Seoul Vibe,Action,"August 26, 2022",2 h 20 min,Korean
I Came By,Thriller,"August 31, 2022",1 h 50 min,English
Fenced in,Comedy,"September 1, 2022",1 h 50 min,Portuguese
Love in the Villa,Romantic comedy,"September 1, 2022",1 h 55 min,English
The Festival of Troubadours,Drama,"September 2, 2022",1 h 42 min,Turkish
End of the Road,Crime thriller,"September 9, 2022",1 h 31 min,English
No Limit,Thriller,"September 9, 2022",1 h 58 min,French
Broad Peak,Thriller,"September 14, 2022",1 h 42 min,Polish
Do Revenge,Black comedy,"September 16, 2022",1 h 58 min,English
Drifting Home,Anime,"September 16, 2022",2 h,Japanese
I Used to Be Famous,Musical drama,"September 16, 2022",1 h 44 min,English
Jogi,Drama,"September 16, 2022",1 h 56 min,Hindi
The Perfumier,Crime drama,"September 21, 2022",1 h 36 min,German
A Jazzman's Blues,Drama,"September 23, 2022",2 h 8 min,English
Lou,Thriller,"September 23, 2022",1 h 47 min,English
Athena,Drama,"September 23, 2022",1 h 37 min,French
Blonde,Biographical drama,"September 28, 2022",2 h 47 min,English
Aníkúlápó,Fantasy drama,"September 30, 2022",2 h 22 min,Yoruba
Plan A Plan B,Romantic comedy,"September 30, 2022",1 h 46 min,Hindi
Rainbow,Fantasy drama,"September 30, 2022",1 h 58 min,Spanish
Jumping from High Places,Drama,"October 5, 2022",1 h 28 min,Italian
Mr. Harrigan's Phone,Horror,"October 5, 2022",1 h 46 min,English
Togo,Thriller,"October 5, 2022",1 h 35 min,Spanish
Doll House,Drama,"October 7, 2022",1 h 46 min,Filipino
Luckiest Girl Alive,Mystery,"October 7, 2022",1 h 55 min,English
Old People,Horror,"October 7, 2022",1 h 41 min,German
Someone Borrowed,Romantic comedy,"October 11, 2022",1 h 47 min,Portuguese
The Curse of Bridge Hollow,Comedy,"October 14, 2022",1 h 31 min,English
The School for Good and Evil,Children's fantasy,"October 19, 2022",2 h 28 min,English
The Stranger,Thriller,"October 19, 2022",1 h 57 min,English
20th Century Girl,Romantic,"October 21, 2022",2 h 1 min,Korean
Hellhole,Horror,"October 26, 2022",1 h 30 min,Polish
Robbing Mussolini,Action comedy,"October 26, 2022",1 h 30 min,Italian
The Good Nurse,Drama,"October 26, 2022",2 h 3 min,English
Beyond the Universe,Romantic drama,"October 27, 2022",2 h 7 min,Portuguese
All Quiet on the Western Front,War drama,"October 28, 2022",2 h 28 min,German
Cici,Drama,"October 28, 2022",2 h 31 min,Turkish
Wendell & Wild,Stop motion fantasy horror comedy,"October 28, 2022",1 h 46 min,English
Wild Is the Wind,Crime drama,"October 28, 2022",2 h 3 min,English
The Takeover,Action / thriller,"November 1, 2022",1 h 28 min,Dutch
The Soccer Football Movie,Animation,"November 9, 2022",1 h 13 min,English
Falling for Christmas,Romantic comedy,"November 10, 2022",1 h 35 min,English
Lost Bullet 2: Back for More,Action,"November 10, 2022",1 h 40 min,French
Don't Leave,Drama,"November 11, 2022",1 h 47 min,Turkish
"Monica, O My Darling",Neo-noir comedy thriller,"November 11, 2022",2 h 10 min,Hindi
My Father's Dragon,Animated fantasy adventure,"November 11, 2022",1 h 43 min,English
The Lost Lotteries,Comedy,"November 16, 2022",1 h 46 min,Thai
The Wonder,Psychological drama,"November 16, 2022",1 h 49 min,English
Christmas with You,Romantic comedy,"November 17, 2022",1 h 30 min,English
Slumberland,Fantasy adventure,"November 18, 2022",2 h,English
Christmas on Mistletoe Farm,Comedy,"November 23, 2022",1 h 43 min,English
Lesson Plan,Crime drama,"November 23, 2022",1 h 39 min,Polish
The Swimmers,Drama,"November 23, 2022",2 h 15 min,English
Who's a Good Boy?,Comedy,"November 23, 2022",1 h 35 min,Spanish
The Noel Diary,Drama,"November 24, 2022",1 h 40 min,English
A Man of Action,Biopic,"November 30, 2022",1 h 51 min,Spanish
Christmas Full of Grace,Romantic comedy,"November 30, 2022",1 h 45 min,Portuguese
My Name Is Vendetta,Thriller,"November 30, 2022",1 h 30 min,Italian
Qala,Drama,"December 1, 2022",1 h 59 min,Hindi
Troll,Monster,"December 1, 2022",1 h 43 min,Norwegian
Lady Chatterley's Lover,Romantic drama,"December 2, 2022",2 h 7 min,English
Scrooge: A Christmas Carol,Animation,"December 2, 2022",1 h 41 min,English
Delivery by Christmas,Romantic comedy,"December 6, 2022",1 h 40 min,Polish
Burning Patience,Drama,"December 7, 2022",1 h 30 min,Spanish
The Marriage App,Drama,"December 7, 2022",1 h 41 min,Spanish
Guillermo del Toro's Pinocchio,Stop motion fantasy musical drama,"December 9, 2022",1 h 56 min,English
I Believe in Santa,Romantic comedy,"December 14, 2022",1 h 30 min,English
The Big 4,Action comedy,"December 15, 2022",2 h 21 min,Indonesian
"Bardo, False Chronicle of a Handful of Truths",Comedy,"December 16, 2022",2 h 39 min,Spanish
Private Lesson,Romantic comedy,"December 16, 2022",1 h 29 min,Turkish
A Not So Merry Christmas,Comedy,"December 20, 2022",1 h 40 min,Spanish
Glass Onion: A Knives Out Mystery,Murder mystery,"December 23, 2022",2 h 19 min,English
A Night at the Kindergarten,Black comedy,"December 28, 2022",1 h 37 min,Polish
White Noise,Black comedy,"December 30, 2022",2 h 16 min,English
